"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2023","3.7345","3.6938","3.7435","3.6792","","0.86%"
"11/16/2023","3.7025","3.7140","3.7425","3.6835","","-0.43%"
"11/15/2023","3.7185","3.6770","3.7250","3.6680","85.83K","0.95%"
"11/14/2023","3.6835","3.6720","3.7190","3.6490","102.76K","0.48%"
"11/13/2023","3.6660","3.5960","3.6720","3.5800","96.82K","2.20%"
"11/10/2023","3.5870","3.6325","3.6445","3.5820","96.13K","-1.47%"
"11/09/2023","3.6405","3.6385","3.6620","3.6135","93.67K","0.07%"
"11/08/2023","3.6380","3.6870","3.7035","3.6325","96.58K","-1.11%"
"11/07/2023","3.6790","3.7120","3.7135","3.6460","108.31K","-1.08%"
"11/06/2023","3.7190","3.6750","3.7255","3.6665","84.99K","1.02%"
"11/03/2023","3.6815","3.6880","3.7050","3.6530","81.35K","0.25%"
"11/02/2023","3.6725","3.6605","3.6925","3.6565","71.37K","0.64%"
"11/01/2023","3.6490","3.6530","3.6890","3.6335","83.30K","0.00%"
"10/31/2023","3.6490","3.6550","3.6745","3.6315","72.26K","-0.26%"
"10/30/2023","3.6585","3.6425","3.7100","3.6400","93.45K","0.34%"
"10/27/2023","3.6460","3.5935","3.6595","3.5810","102.14K","1.72%"
"10/26/2023","3.5845","3.5890","3.6195","3.5720","73.83K","-0.18%"
"10/25/2023","3.5910","3.6315","3.6490","3.5820","70.33K","-0.91%"
"10/24/2023","3.6240","3.5815","3.6395","3.5625","89.81K","1.05%"
"10/23/2023","3.5865","3.5590","3.5945","3.5195","83.73K","0.66%"
"10/20/2023","3.5630","3.5850","3.5900","3.5465","","-1.06%"
