,Date,Price,Open,High,Low,Vol.,Change %,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM
0,2023-10-05,3.552,3.583,3.603,3.549,58.69,1.03,10.0,2023.0,19374.0,,6.6,
1,2023-10-04,3.589,3.6185,3.622,3.549,76.86,0.88,10.0,2023.0,19374.0,,6.6,
2,2023-10-03,3.621,3.648,3.648,3.5815,69.45,0.56,10.0,2023.0,19374.0,,6.6,
3,2023-10-02,3.6415,3.754,3.7615,3.6275,74.92,2.57,10.0,2023.0,19374.0,,6.6,
4,2023-09-29,3.7375,3.7125,3.786,3.7115,82.33,0.8,9.0,2023.0,19374.0,,6.6,
5,2023-09-28,3.708,3.6465,3.715,3.6255,73.77,1.97,9.0,2023.0,19374.0,,6.6,
6,2023-09-27,3.6365,3.6465,3.6535,3.624,64.25,0.34,9.0,2023.0,19374.0,,6.6,
7,2023-09-26,3.649,3.673,3.6835,3.6275,65.8,0.57,9.0,2023.0,19374.0,,6.6,
8,2023-09-25,3.67,3.6955,3.7055,3.649,54.42,0.7,9.0,2023.0,19374.0,,6.6,
9,2023-09-22,3.696,3.691,3.741,3.6855,61.88,0.0,9.0,2023.0,19374.0,,6.6,
10,2023-09-21,3.696,3.741,3.747,3.634,124.29,2.12,9.0,2023.0,19374.0,,6.6,
11,2023-09-20,3.776,3.752,3.7895,3.7385,50.33,0.77,9.0,2023.0,19374.0,,6.6,
12,2023-09-19,3.747,3.78,3.781,3.728,61.43,0.85,9.0,2023.0,19374.0,,6.6,
13,2023-09-18,3.779,3.7975,3.823,3.7655,48.8,0.58,9.0,2023.0,19374.0,,6.6,
14,2023-09-15,3.801,3.8155,3.8515,3.7875,56.1,0.54,9.0,2023.0,19374.0,,6.6,
15,2023-09-14,3.8215,3.785,3.8425,3.778,66.85,0.75,9.0,2023.0,19374.0,,6.6,
16,2023-09-13,3.793,3.791,3.8195,3.7705,53.84,0.03,9.0,2023.0,19374.0,,6.6,
17,2023-09-12,3.792,3.803,3.8135,3.7745,44.01,0.39,9.0,2023.0,19374.0,,6.6,
18,2023-09-11,3.807,3.717,3.812,3.7125,66.66,2.44,9.0,2023.0,19374.0,,6.6,
19,2023-09-08,3.7165,3.7605,3.7655,3.7115,66.66,1.21,9.0,2023.0,19374.0,,6.6,
20,2023-09-07,3.762,3.7905,3.793,3.739,69.66,0.63,9.0,2023.0,19374.0,,6.6,
21,2023-09-06,3.786,3.8375,3.8475,3.781,68.21,1.62,9.0,2023.0,19374.0,,6.6,
22,2023-09-05,3.8485,3.855,3.8725,3.794,87.97,0.43,9.0,2023.0,19374.0,,6.6,
23,2023-09-01,3.852,3.833,3.9085,3.829,81.64,0.78,9.0,2023.0,19374.0,,6.6,
24,2023-08-31,3.822,3.8385,3.8465,3.7985,52.79,0.57,8.0,2023.0,19374.0,307.026,6.6,307.026
25,2023-08-30,3.844,3.8395,3.8505,3.812,56.86,0.38,8.0,2023.0,19374.0,307.026,6.6,307.026
26,2023-08-29,3.8295,3.793,3.8305,3.787,0.64,1.16,8.0,2023.0,19374.0,307.026,6.6,307.026
27,2023-08-28,3.7855,3.8165,3.8165,3.778,0.17,0.17,8.0,2023.0,19374.0,307.026,6.6,307.026
28,2023-08-25,3.779,3.789,3.817,3.77,0.29,0.22,8.0,2023.0,19374.0,307.026,6.6,307.026
